name,position
Scott Morrison,Prime Minister
Scott Morrison,Minister for the Public Service
Barnaby Joyce,Deputy Prime Minister
Barnaby Joyce,"Minister for Infrastructure, Transport and Regional Development"
Marise Payne,Minister for Foreign Affairs
Marise Payne,Minister for Women
Ken Wyatt,Minister for Indigenous Australians
Bridget McKenzie,Minister for Emergency Management and National Recovery and Resilience
Bridget McKenzie,"Minister for Regionalisation, Regional Communications and Regional Education"
Ben Morton,Assistant Minister to the Prime Minister and Cabinet
Ben Morton,Assistant Minister to the Minister for the Public Service
Ben Morton,Assistant Minister for Electoral Matters
David Coleman,Assistant Minister to the Prime Minister for Mental Health and Suicide Prevention
Amanda Stoker,Assistant Minister for Women
Amanda Stoker,Assistant Minister to the Attorney-General
Amanda Stoker,Assistant Minister for Industrial Relations
Paul Fletcher,"Minister for Communications, Urban Infrastructure, Cities and the Arts"
Andrew Gee,Minister for Veterans’ Affairs
Andrew Gee,Minister for Defence Personnel
Scott Buchholz,Assistant Minister for Road Safety and Freight Transport
Kevin Hogan,Assistant Minister to the Deputy Prime Minister
Kevin Hogan,Assistant Minister for Local Government
Nola Marino,Assistant Minister for Regional Development and Territories
Josh Frydenberg,Treasurer
Michael Sukkar,Assistant Treasurer
Michael Sukkar,"Minister for Homelessness, Social and Community Housing"
Jane Hume,"Minister for Superannuation, Financial Services and the Digital Economy"
Jane Hume,Minister for Women's Economic Security
Simon Birmingham,Minister for Finance
David Littleproud,Minister for Agriculture and Northern Australia
Sussan Ley,Minister for the Environment
Keith Pitt,Minister for Resources and Water
Trevor Evans,Assistant Minister for Waste Reduction and Environmental Management
Jonathon Duniam,Assistant Minister for Forestry and Fisheries
Jonathon Duniam,Assistant Minister for Industry Development
David Gillespie,Minister for Regional Health
David Gillespie,Minister Assisting the Minister for Trade and Investment
David Gillespie,Deputy Leader of the House
Dan Tehan,"Minister for Trade, Tourism and Investment"
Zed Seselja,Minister for International Development and the Pacific
Peter Dutton,Minister for Defence
Melissa Price,Minister for Defence Industry
Andrew Hastie,Assistant Minister for Defence
Michaelia Cash,Attorney-General
Michaelia Cash,Minister for Industrial Relations
Greg Hunt,Minister for Health and Aged Care
Richard Colbeck,Minister for Senior Australians and Aged Care Services
Richard Colbeck,Minister for Sport
Anne Ruston,Minister for Families and Social Services
Anne Ruston,Minister for Women's Safety
Linda Reynolds,Minister for Government Services
Linda Reynolds,Minister for the National Disability Insurance Scheme
Michelle Landry,Assistant Minister for Children and Families
Michelle Landry,Assistant Minister for Regional Tourism
Karen Andrews,Minister for Home Affairs
Alex Hawke,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
Jason Wood,"Assistant Minister for Customs, Community Safety and Multicultural Affairs"
Christian Porter,"Minister for Industry, Science and Technology"
Angus Taylor,Minister for Energy and Emissions Reduction
Stuart Robert,"Minister for Employment, Workforce, Skills, Small and Family Business"
Alan Tudge,Minister for Education and Youth
Luke Howarth,Assistant Minister for Youth and Employment Services
